city,pop,lon,lat
北京,131,116.405289,39.904987
成都,42,104.065735,30.659462
广州,49,113.28064,23.125177
哈尔滨,13,126.642464,45.756966
杭州,9,120.15358,30.287458
合肥,20,117.283043,31.861191
济南,50,117.000923,36.675808
南京,40,118.76741,32.041546
青岛,18,120.301666,31.57473
厦门,13,,
上海,41,121.472641,31.231707
深圳,44,114.085945,22.547001
石家庄,13,114.502464,38.045475
太原,8,112.549248,37.857014
天津,17,117.190186,39.125595
武汉,22,114.298569,30.584354
西安,16,108.948021,34.263161
长春,19,125.324501,43.886841
长沙,21,112.982277,28.19409
郑州,86,113.665413,34.757977
重庆,22,106.504959,29.533155
